Collection Title,Skill Tags,Field 6
Cisco CCIE Routing and Switching Practice Lab,,
Cisco CCIE RS Core Concepts - Evolving Technologies,,
Cisco CCIE RS Core Concepts - Infrastructure Security,", Authentication, Access Control, VACL, PACL, DHCP, Snooping, Port Security, VLAN, ACLs, IPv4, IPv6",
Cisco CCIE RS Core Concepts - Infrastructure Services,"Device Management, SNMP, Logging, QoS, NTP, DHCP, Network Address Translation (NAT), IP SLA, Netflow",
Cisco CCIE RS Core Concepts - Layer 2 Technologies,"Layer 2, Layer 2 Technologies, Protocols, VLAN, Trunking, EtherChannels, Spanning Tree, IGMP, HDLC, PPP",
Cisco CCIE RS Core Concepts - Layer 3 Technologies,"Layer 3, Layer 3 Technologies, IPv4, IPv6, Multicast, Static Routing, Routing, RIP, IP Addressing, IPv6, IPv4, Layer 3 Technologies, Layer 3, Layer 3, Layer 3 Technologies, Multicast, Layer 3, Layer 3 Technologies, Routing, Protocols, Layer 3, Layer 3 Technologies, RIPv2, RIP, Layer 3, Layer 3 Technologies, EIGRP, Layer 3, Layer 3 Technologies, Network Operations, Layer 3, Layer 3 Technologies, Peering, Layer 3, Layer 3 Technologies, Network Operations, NLRI, Layer 3, Layer 3 Technologies, Policies, Layer 3, Layer 3 Technologies, Scalability, Layer 3, Layer 3 Technologies, Network Traffic, Layer 3, Layer 3 Technologies, AS Path, Layer 3, Layer 3 Technologies, Multipath, Layer 3, Layer 3 Technologies, Expressions, Layer 3, Layer 3 Technologies, OSPF, OSPFv3, Optimization",
Cisco CCIE RS Core Concepts - Network Principles,", ICMP, IPv4, IPv6, TCP, UDP",
Cisco CCIE RS Core Concepts - VPN Technologies,"MPLS, LSR, LSP, MBGP, VRF, Layer 3, Layer 3 Technologies, GRE, NHRP, DMVPN, VTI, Site-to-site, IPsec, L2TPV3, VPLS",
Cisco CCIP BGP 642-661,,
Cisco CCIP QoS 642-642,,
Cisco CCNA 640-875 SPNGN1,", OSI Model, TCP, TCP/IP, IPv4, IPv6, Subnetting, VLSM, Switching, Cisco IOS, Spanning Tree, Static Routing, Routing Fundamentals, RIP, EIGRP, IPv4, IPv6, Network Address Translation (NAT), DHCP, IPv4, IPv6, DNS, ICMP, Security, SNMP, NTP, IOS, Cisco IOS, Device Management",
Cisco CCNA 640-878 SPNGN2,"Service Provider, VLAN, STP, Ethernet, OSPF, IS-IS, BGP, FHRP, MPLS, ACLs, IPv6",
Cisco CCNA Certification Series,,
Cisco CCNA Cloud 210-451 CLDFND,"Cloud Concepts, Cloud Computing, Cloud Service, B Series, C Series, UCS, Server Virtualization, Cloud Storage, Nexus, Unified Fabric, Virtual Networking, Software Defined Networking (SDN), ACI, NAS, SAN, Storage Devices, Automation",
Cisco CCNA Collaboration 210-060 CICD,", VoIP, Voice, PSTN, Jabber, VCS, TMS, CME, CUCM, IP Phones, Voice, VLAN, QoS, Jabber, Unity Connection, CME, GNS3, Telephony, Dial Plans, Phone Configuration, IP Phones, CUCM, Phone Configuration, IP Phones, Route Plans, Dial Plans",
Cisco CCNA Collaboration 210-065 CIVND1,", Video, QoS, CAC, Telepresence",
Cisco CCNA Collaboration 210-065 CIVND2,"Endpoints, VCS, Endpoints, Protocols, CUCM, VCS, Jabber, IP Phones, CLI, Telepresence, CUCM, VCS, Video Conferencing, VCS, Multi-point Control Units (MCUs), WebEx, TMS, CUCM, VCS, Jabber, Multi-point Control Units (MCUs)",
Cisco CCNA Cyber Ops 210-250 SECFND,", Network Fundamentals, OSI Model, TCP/IP, Wireshark, Ports, Layer 2, Protocols, VLAN, Trunking, Ethernet, Ethernet Switching, Layer 3, Routing, IPv4, Port Mirroring, ARP, DHCP, DNS, NTP, PAT, Network Address Translation (NAT), ACLs, IPS, IDS, Security, CIA, RBAC, Security Concepts, Encryption, Cryptography, PKI, IPsec",
Cisco CCNA Cyber Ops 210-255 SECOPS,,
Cisco CCNA Data Center 200-150 DCICN,"Data Center, TCP, TCP/IP, Network Communication, Data Center, Three-Tier Architecture, Data Center, Spine Leaf, Data Center, Switching, Data Center, VLAN, Data Center, DevNet, GNS3, VIRL, Data Center, NX-OS, Nexus, Data Center, NX-OS, Layer 2, Layer 3, VLAN, Data Center, Spanning Tree, Data Center, EtherChannels, Data Center, Storage, Network Storage, Data Center, Storage, Data Center, FCoE",
Cisco CCNA Data Center 200-155 DCICT,"Data Center, Data Center, Network Virtualization, Data Center, FEX, FabricPath, FCoE, Data Center, Unified Computing, Virtual Machines (VM), Hypervisor, Data Center, Cloud Concepts, API, UCS, Data Center, ACI",
Cisco CCNA Hands-on Labs Using Wireshark & GNS3,"IPv4, IP Addressing, SSH, Ethernet, ICMP, DNS, DHCP, EIGRP, OSPF, Wireshark, GNS3, IPv4, IP Addressing, ARP, Trunking, STP, VLAN, NTP, Network Address Translation (NAT), HSRP, GLBP, Protocols, Wireshark, GNS3, GNS3, Wireshark, Network Address Translation (NAT), IPv6, Layer 2, Layer 3, EIGRP, OSPF, GRE, Frame Relay, IPsec, VPN, PPP",
Cisco CCNA ICND2 200-101,,
Cisco CCNA ICND2 640-816,"SOHO, Network Fundamentals, Network Fundamentals, Switching, TCP/IP, TCP, Subnetting, Network Fundamentals, Routing, Routing Fundamentals, Protocols, Access List, Network Address Translation (NAT), WAN, IPv6, , TCP, TCP/IP, Subnetting",
Cisco CCNA Routing and Switching 200-105 ICND2,", IP Addressing, RIPv2, Routing, Static Routing, VTP, VLAN, DHCP, Network Address Translation (NAT), ACLs, STP, Switching, EtherChannels, IOS, Routing, Protocols, OSPF, Recovery, Routing, EIGRP, Protocols, Load Balancing, OSPFv3, IPv6, Routing, WAN, Layer 2, PPP, PPPoE, VPN, GRE Tunneling, BGP, HSRP, QoS, Infrastructure Services, ACLs, Software Defined Networking (SDN), IP SLA, SLA, SNMP, SPAN",
Cisco CCNA Security 210-260 IINS,", CIA, Port Security, DHCP, PVLAN, DAI, Switching, IOS, Cisco IOS, Firewalls, GNS3, IDS, IPS, FirePOWER, ASA, GNS3, Firewalls, Network Topologies, Network Address Translation (NAT), ACLs, Secure Access, Hardening, Routing, ACLs, ASA, Cryptography, VPN, ASA, IPsec, SSL, PKI, Site-to-site, Information Security",
Cisco CCNA Security 640-554,,
Cisco CCNA Security IINS 640-553,,
Cisco CCNA v2 Labs: Cisco for the Real World,,
Cisco CCNA Wireless 200-355 WIFUND,"Wireless, Wireless Technologies, Wireless Networks, WLAN, Wireless, Wireless Technologies, Wireless Networks, Network Design, Wireless, Wireless Technologies, Wireless Networks",
Cisco CCNA Wireless IUWNE 640-721,,
Cisco CCNA Wireless IUWNE 640-722,,
Cisco CCNP Collaboration (CIPTV1): 4.0 Calling Privileges,,
Cisco CCNP Collaboration CIPTV1 300-070,"Dial Plans, Endpoint Addressing, Numbering Plans, Call Privileges, Call Coverage, Collaboration, CUCM, Deployment, CUCM, Touchless Install, CUCM, CUCM, User Accounts, CUCM, Automation, Media Resources, PSTN, PSTN, H.323, H.225, H.245, SIP, CUBE, Video Conferencing, QoS",
Cisco CCNP Collaboration CIPTV1: 1.0 - 2.0 Dial Plan Components and Endpoint Addressing,,
Cisco CCNP Collaboration CIPTV1: 3.0 Numbering Plans,,
Cisco CCNP ISCW 642-825,,
Cisco CCNP ONT 642-845,,
Cisco CCNP ROUTE 300-101 Hands-on Labs Exam Prep,"DMVPN, IPv6, RIPng, ACLs, Frame Relay, PBR, OSPF, IPv4, EIGRP, Layer 3, Layer 3 Technologies, OSPF, BGP",
Cisco CCNP ROUTE 642-902,,
Cisco CCNP Routing and Switching 300-101 ROUTE,", EIGRP, Layer 3, Layer 3 Technologies, Frame Relay, Load Balancing, IPv6, Layer 3, Layer 3 Technologies, OSPF, OSPFv3, Redistribution, Layer 3, Layer 3 Technologies, BGP, Layer 3, Layer 3 Technologies, Layer 3, Layer 3 Technologies, Protocols",
Cisco CCNP Routing and Switching 300-115 SWITCH,"Switching, Switching, VLAN, VTP, Trunking, DHCP, Switching, STP, Spanning Tree, EtherChannels, Switching, Layer 3, Layer 3 Technologies, VLAN, EtherChannels, FHRP, HSRP, VRRP, GLBP, Switching, VLAN, DHCP, Snooping, Port Security, Switching, Layer 2, Layer 2 Technologies, SNMP, NTP",
Cisco CCNP Routing and Switching 300-135 TSHOOT,"Troubleshooting, Cisco IOS, Switching, Routing, Troubleshooting, Switching, VTP, Trunking, VLAN, Spanning Tree, Layer 2, Layer 2 Technologies, EtherChannels, Port Security, Troubleshooting, Port Security, EtherChannels, HSRP, VRRP, GLBP, IPv4, DHCP, IPv6, RIPv2, RIPng, EIGRP, OSPF, ROUTE Maps, BGP, Troubleshooting, Spoofing, Network Address Translation (NAT), Access List, IPv4, IPv6, ",
Cisco CCNP Routing/Switching 300-101 ROUTE,,
Cisco CCNP Security (formerly known as CCSP) - Exam-Pack 642-504: SNRS (update),"Router Security, Switching, Routing",
Cisco CCNP Security (formerly known as CCSP) - Exam-Pack 642-533: IPS (update),,
Cisco CCNP Security (formerly known as CCSP) - Exam-Pack: 642-502 SNRS,,
Cisco CCNP Security (formerly known as CCSP) - Exam-Pack: 642-511 CSVPN,,
Cisco CCNP Security (formerly known as CCSP) - Exam-Pack: 642-522 SNPA,,
Cisco CCNP Security (formerly known as CCSP) - Exam-Pack: 642-532 IPS,,
Cisco CCNP Security (formerly known as CCSP) FIREWALL 642-617,,
Cisco CCNP Security (formerly known as CCSP) SECURE 642-637,,
Cisco CCNP Security (formerly known as CCSP) SNAA 642-515,,
Cisco CCNP Security (formerly known as CCSP) SNAF 642-524,,
Cisco CCNP Security 300-206 SENSS,"Threat Defense, Network Devices, Security, Network Security, Port Security, DHCP, ARP, VLAN, Edge Devices, Security, Network Security, Edge Devices, Network Management , Monitoring, Troubleshooting, Remote Management, SSH, Authentication, Network Address Translation (NAT), Security, Network Security, ACLs, Edge Devices, Firewalls, IPS",
Cisco CCNP Security 300-207 SITCS,"Security, Web Security, WSA, WCCP, Security, Email Security, ESA",
Cisco CCNP Security 300-208 SISAS,ISE,
Cisco CCNP Security 300-209 SIMOS,"Security, DMVPN, FlexVPN, GETVPN, VPN, Security, VTI, FlexVPN, RSA, Authentication, IPsec, AnyConnect",
Cisco CCNP Security Firewall,,
Cisco CCNP Security IPS 642-627,,
Cisco CCNP Security VPN 642-647,,
Cisco CCNP Security VPN v2.0,", VPN, Security, SSL, IPsec",
Cisco CCNP SWITCH 300-115 Hands-on Labs Exam Prep,"HSRP, GLBP, Trunks, Trunking, VLAN, VTP, EtherChannels, Port Security, Network Attacks, Mitigation, SSH",
Cisco CCNP SWITCH 642-813,,
Cisco CCNP TSHOOT 300-135 Hands-on Labs Exam Prep,"Hand-on Lab, Troubleshooting, Network Management ",
Cisco CCNP TSHOOT 642-832,,
Cisco CCNP-BCMSN Series (Switching),,
Cisco CCNP-BCRAN Series (Remote Access),,
Cisco CCNP-BSCI Series (Routing),,
Cisco CCNP-CIT Series (Troubleshooting),,
Cisco CCNP-Switching Certification,,
Cisco CCSP -  Exam-Pack 642-513: HIPS,,
Cisco CCSP - Exam-Pack 642-523: SNPA (update),,
Cisco CCSP - Exam-Pack 642-552: SND (update),,
Cisco CCSP - Exam-Pack: 642-501 SECUR,,
Cisco CCSP - Exam-Pack: 642-521 CSPFA,,
Cisco CCSP - Exam-Pack: 642-551 SND,,
Cisco CCVP - Exam-Pack: 642-432 CVOICE,,
Cisco Data Center Networking Fundamentals,"Data Center, OSI Model, Network Devices, Ethernet, Subnetting, TCP/IP, LAN Switching, Data Center",
Cisco Data Center Networking Technologies,"Data Center, Network Architecture, Nexus, Data Center, FabricPath, Data Center, Virtualization, Data Center, Nexus, Data Center, Storage, Data Center, Fibre Channel, FCoE, Data Center, UCS",
Cisco Design CCDA DESGN 640-861,,
Cisco IP Telephony (CIPT) (Authorized Self-Study) (2nd Edition),,
Cisco R&S Troubleshooting Mastery,"Routing, Switching, Troubleshooting",
Cisco Security - Cisco SAFE Implementation,,
Cisco Security - Intrusion Detection Systems,,
Cisco Virtual Internet Routing Lab (VIRL),"VIRL, VIRL, VMWare, ESXi, VM Maestro, VIRL, Network Topologies, Configuration",
Cisco Virtual Internet Routing Lab (VIRL) 1.x,VIRL,
Cisco VoIP CCNA Voice ICOMM 640-461,"VoIP, Voice, CME, Gateways, Trunks, CUCM, Unity Connection, Unified Presence, Voice, Troubleshooting, CUCM, CME",
Cisco VoIP CCNA Voice IIUC 640-460,,
Cisco VoIP CCNP Voice (formerly known as CCVP) CIPT1 642-446,,
Cisco VoIP CCNP Voice (formerly known as CCVP) CIPT2 642-456,,
Cisco VoIP CCNP Voice (formerly known as CCVP) CVOICE v6.0 642-436,,
Cisco VoIP CCNP Voice (formerly known as CCVP) GWGK 642-453,,
Cisco VoIP CCNP Voice (formerly known as CCVP) TUC 642-426,,
Cisco VoIP CCNP Voice CIPT1 v8.0 642-447,"CUCM, Architecture and Design, Network Architecture, CUCM, User Management, Phone Configuration, Configuration, CUCM, Route Plans, Partitions, CSS, CUCM",
Cisco VoIP CCNP Voice CIPT2 v8.0 642-457,"CUCM, Multisite, CUCM, Multisite, Dial Plans, Safety Procedures, CCD",
Cisco VoIP CCNP Voice CVOICE v8.0 642-437,"Voice, Gateways, Dial Plans, CME, Voice, Protocols, QoS",
Citrix 4.5 update,,
Citrix CCA-V XenApp and XenDesktop 7.1x Administration (1Y0-203),"XenApp, XenDesktop",
Citrix Certified Associate Virtualization,,
Citrix MetaFrame XP Series,,
Citrix NetScaler 10.5 1Y0-253,"Netscaler, Netscaler 10.5, NTP, Static Routing, High Availability, Load Balancing, Subnetting, Netscaler, Netscaler 10.5, SSL, TLS, Certificates, Secure Configurations, Netscaler, Netscaler 10.5, NS Gateway, LDAP, Policies, Authentication, Netscaler, Netscaler 10.5",
Citrix Presentation Server 4 CCA Certification Course with 4.5 Updates,,
Citrix Presentation Server 4 CCA Certification Series,,
Citrix Virtualization CCA Presentation Server 5,,
Citrix Virtualization CCA XenApp 6 A18,,
Citrix Virtualization CCA XenDesktop 5 A19,,
Citrix XenApp / XenDesktop 7.5 CCA-V CCP-V,,
Citrix XenApp 6.5 CCA A20,,
CIW Web Development JavaScript Specialist 1D0-435,,
CIW Web Development Perl Specialist 1D0-437,,
CIW Web Development Web Foundations Associate 1D0-510,,
Cloud Computing,,
Azure Cloud Concepts,"Cloud Concepts, Azure",
CompTIA  iNet+,,
CompTIA A+ (220-901),", BIOS, UEFI, Motherboards, RAM, Hardware, Storage, Storage Devices, RAID, Printers, CPUs, Display, Peripherals, SOHO, Cables, Connectors, TCP, TCP/IP, Ports, DHCP, DNS, Protocols, UDP, WiFi, SOHO, Wireless, Network Devices, Mobile Devices, Mobile Accessories, Hardware Troubleshooting, Storage, Network Troubleshooting, Video, Mobile Device Management, Wireless Network Troubleshooting",
CompTIA A+ (220-902),", Operating Systems, Windows, Windows Updates, Partitions, Filesystems, CLI, Task Manager, Disk Management, System Utilities, Control Panel, Windows Network, Windows Updates, Operating Systems, Mac OS, Linux OS, Cloud Concepts, Mobile Devices, Security Principles, Threats, Workstation Security, Mobile Security, Data Management, Malware, Privacy, Troubleshooting Methodology",
CompTIA A+ 220-701  220-702,,
CompTIA A+ 220-801 and 220-802,,
CompTIA A+ Certification Package,,
CompTIA Cloud Essentials (CLO-001),,
CompTIA Cloud+ (CV0-002),"Cloud Infrastructure, Deployment, Configuration, Cloud Security, Security, Cloud Management, Troubleshooting",
CompTIA Cloud+ (CV0-002): 2.0 Security,,
CompTIA Cloud+ (CV0-002): 3.0 Maintenance,,
CompTIA Cloud+ (CV0-002): 4.0 Management,,
CompTIA Cloud+ (CV0-002): 5.0 Troubleshooting,,
CompTIA CySA+ (CS0-001),"Threats, Threat Mitigation, Threat Management, Security, Vulnerabilities, Security, ACLs, Incident Response, Security, Vulnerabilities, Incident Response, Security, Security Architecture, Security, Security Architecture, Security, Security Tools",
CompTIA CySA+: 1.0 Threat Management,,
CompTIA CySA+: 2.0 Vulnerability Management,,
CompTIA CySA+: 3.0 Cyber Incident Response,,
CompTIA CySA+: 4.0 Security Architecture,,
CompTIA CySA+: 5.0 Cybersecurity Tools and Technology,,
CompTIA Healthcare IT Technician,,
CompTIA IT for Sales FC0-TS1,,
CompTIA Linux+ Series (w/2004 Update),,
CompTIA Network+ (N10-006),"Hardware, Routers, Switches, Network Devices, Firewalls, Load Balancing, IDS, IPS, VPN, Wireless Access Points, Cabling, DHCP, DNS, ARP, Network Address Translation (NAT), IPv4, IPv6, Network Services, OSI Model, IP Routing, Static Routing, Dynamic Routing, LAN, Wireless, Ports, Network Analysis, Ethernet, WAN, Virtualization, Network Topologies, Switching, VLAN, Trunking, STP, Ports, Port Mirroring, Network Troubleshooting, Cabling, CLI, Troubleshooting Tools, Network Security, VPN, Fault Tolerance, Physical Security, Monitoring, Risk Management, Threats, Vulnerabilities, Port Security, Firewalls, Hardening, Access Control, Forensics",
CompTIA Network+ (N10-007),"OSI Model, TCP, TCP/IP, Protocols, Ethernet, Switching, IP Routing, IP Forwarding, IP Addressing, Subnetting, Network Topologies, Wireless, Cloud Concepts, Network Services, Cabling, Network Devices, Network Devices, Advanced Network Infrastructure, Network Storage, Virtualization, WAN, Network Diagrams, Documentation, Business Continuity, Network Scanning, Monitoring, Network Patching, Remote Access, Identity Policies, Physical Security, Network Attacks, Authentication, Access Control, Mitigation, Troubleshooting, Network Connectivity, Wired Network Troubleshooting, Wireless Network Troubleshooting, Troubleshooting, Network Services Troubleshooting, Troubleshooting",
CompTIA Network+ (N10-007): 1.1 and 1.2 Networking Concepts,,
CompTIA Network+ (N10-007): 1.3a Networking Concepts,,
CompTIA Network+ (N10-007): 1.3b Networking Concepts,,
CompTIA Network+ (N10-007): 1.4 Networking Concepts,,
CompTIA Network+ (N10-007): 1.5 Networking Concepts,,
CompTIA Network+ (N10-007): 1.6 Networking Concepts,,
CompTIA Network+ (N10-007): 1.7 Networking Concepts,,
CompTIA Network+ (N10-007): 1.8 Network Services,,
CompTIA Network+ (N10-007): 2.1 Infrastructure,,
CompTIA Network+ (N10-007): 2.2 Infrastructure,,
CompTIA Network+ (N10-007): 2.3 Infrastructure,,
CompTIA Network+ (N10-007): 2.4 Infrastructure,,
CompTIA Network+ (N10-007): 2.5 Infrastructure,,
CompTIA Network+ (N10-007): 3.1 Network Operations,,
CompTIA Network+ (N10-007): 3.2 Network Operations,,
CompTIA Network+ (N10-007): 3.3 Network Operations,,
CompTIA Network+ (N10-007): 3.4 Network Operations,,
CompTIA Network+ (N10-007): 3.5 Network Operations,,
CompTIA Network+ (N10-007): 4.1 and 4.4 Network Security,,
CompTIA Network+ (N10-007): 4.2 Network Security,,
CompTIA Network+ (N10-007): 4.3 Network Security,,
CompTIA Network+ (N10-007): 4.5 and 4.6 Network Security,,
CompTIA Network+ (N10-007): 5.1 Network Troubleshooting & Tools,,
CompTIA Network+ (N10-007): 5.2 Network Troubleshooting & Tools,,
CompTIA Network+ (N10-007): 5.3 Network Troubleshooting & Tools,,
CompTIA Network+ (N10-007): 5.4 Network Troubleshooting & Tools,,
CompTIA Network+ (N10-007): 5.5 Network Troubleshooting & Tools,,
CompTIA Network+ (N10-007): Networking Concepts 1.1,,
CompTIA Network+ N10-004  JK0-016,,
CompTIA Network+ N10-005,,
